Visit ID,Dither Index,Aperture,Exp Time,Target,Orient Used,RA Center Rot,Dec Center Rot,s_region
01180025001,1,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.175667,-27.783981,POLYGON ICRS 53.14136979290774 -27.81486569143749 53.14128163017117 -27.7543107841783 53.209470420062395 -27.75379498440464 53.210566232047206 -27.814343352168123 ,
01180025001,2,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.175669,-27.784127,POLYGON ICRS 53.141371183629055 -27.81501256001303 53.14128302010832 -27.754457652784765 53.20947190198134 -27.753941852300215 53.21056771629041 -27.814490220057053 ,
01180025001,3,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.175666,-27.783834,POLYGON ICRS 53.141368402338365 -27.814718835889494 53.14128024038624 -27.75416392859944 53.20946893830436 -27.753648129536714 53.21056474796479 -27.814196497306796 ,
01180025001,1,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.175667,-27.783981,POLYGON ICRS 53.14136979290774 -27.81486569143749 53.14128163017117 -27.7543107841783 53.209470420062395 -27.75379498440464 53.210566232047206 -27.814343352168123 ,
01180025001,2,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.175669,-27.784127,POLYGON ICRS 53.141371183629055 -27.81501256001303 53.14128302010832 -27.754457652784765 53.20947190198134 -27.753941852300215 53.21056771629041 -27.814490220057053 ,
01180025001,3,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.175666,-27.783834,POLYGON ICRS 53.141368402338365 -27.814718835889494 53.14128024038624 -27.75416392859944 53.20946893830436 -27.753648129536714 53.21056474796479 -27.814196497306796 ,
01180025001,1,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.175667,-27.783981,POLYGON ICRS 53.14136979290774 -27.81486569143749 53.14128163017117 -27.7543107841783 53.209470420062395 -27.75379498440464 53.210566232047206 -27.814343352168123 ,
01180025001,2,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.175669,-27.784127,POLYGON ICRS 53.141371183629055 -27.81501256001303 53.14128302010832 -27.754457652784765 53.20947190198134 -27.753941852300215 53.21056771629041 -27.814490220057053 ,
01180025001,3,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.175666,-27.783834,POLYGON ICRS 53.141368402338365 -27.814718835889494 53.14128024038624 -27.75416392859944 53.20946893830436 -27.753648129536714 53.21056474796479 -27.814196497306796 ,
01180025001,1,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.175667,-27.783981,POLYGON ICRS 53.14136979290774 -27.81486569143749 53.14128163017117 -27.7543107841783 53.209470420062395 -27.75379498440464 53.210566232047206 -27.814343352168123 ,
01180025001,2,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.175669,-27.784127,POLYGON ICRS 53.141371183629055 -27.81501256001303 53.14128302010832 -27.754457652784765 53.20947190198134 -27.753941852300215 53.21056771629041 -27.814490220057053 ,
01180025001,3,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.175666,-27.783834,POLYGON ICRS 53.141368402338365 -27.814718835889494 53.14128024038624 -27.75416392859944 53.20946893830436 -27.753648129536714 53.21056474796479 -27.814196497306796 ,
01180025001,1,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.174490,-27.785108,POLYGON ICRS 53.140191601386846 -27.815993177932512 53.14010409419393 -27.755438270358354 53.20829359609651 -27.75492304805789 53.20938876407799 -27.815471425166663 ,
01180025001,2,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.174491,-27.785255,POLYGON ICRS 53.140192990527126 -27.816140046518058 53.14010548255661 -27.755585138976187 53.208295076444436 -27.75506991596677 53.20939024674366 -27.815618293067587 ,
01180025001,3,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.174488,-27.784961,POLYGON ICRS 53.1401902123984 -27.815846322374455 53.14010270598332 -27.755291414768067 53.20829211590941 -27.754776193176497 53.20938728157303 -27.815324570293228 ,
